Instance,Min
t2_0001,6896
t2_0002,6952
t2_0003,5438
t2_0004,7837
t2_0005,4850
t2_0006,5144
t2_0007,7509
t2_0008,5240
t2_0009,7659
t2_0010,4485
t2_0011,5994
t2_0012,7821
t2_0013,5734
t2_0014,8300
t2_0015,6999
t2_0016,5240
t2_0017,5709
t2_0018,6540
t2_0019,5651
t2_0020,6554
t2_0021,4802
t2_0022,5591
t2_0023,6909
t2_0024,6557
t2_0025,7549
t2_0026,5974
t2_0027,5989
t2_0028,6755
t2_0029,6118
t2_0030,6157
t2_0031,4607
t2_0032,7229
t2_0033,4882
t2_0034,4340
t2_0035,5671
t2_0036,4393
t2_0037,5617
t2_0038,4522
t2_0039,4879
t2_0040,4158
t2_0041,6035
t2_0042,4990
t2_0043,5048
t2_0044,6141
t2_0045,3538
t2_0046,6038
t2_0047,4853
t2_0048,4927
t2_0049,7885
t2_0050,4997
t2_0051,6258
t2_0052,4186
t2_0053,6308
t2_0054,4359
t2_0055,5659
t2_0056,5271
t2_0057,5976
t2_0058,5184
t2_0059,6029
t2_0060,7735
t2_0061,5530
t2_0062,5144
t2_0063,5032
t2_0064,5242
t2_0065,6311
t2_0066,4833
t2_0067,4244
t2_0068,5836
t2_0069,6368
t2_0070,5318
t2_0071,5933
t2_0072,5169
t2_0073,7027
t2_0074,4956
t2_0075,5704
t2_0076,5416
t2_0077,6433
t2_0078,6161
t2_0079,4551
t2_0080,5793
t2_0081,6896
t2_0082,7165
t2_0083,6537
t2_0084,5217
t2_0085,6064
t2_0086,6032
t2_0087,4853
t2_0088,6580
t2_0089,5495
t2_0090,8524
t2_0091,5909
t2_0092,5402
t2_0093,4453
t2_0094,6584
t2_0095,5623
t2_0096,5113
t2_0097,6950
t2_0098,7248
t2_0099,7912
t2_0100,5859
t2_0101,6837
t2_0102,6631
t2_0103,6813
t2_0104,4996
t2_0105,6224
t2_0106,7080
t2_0107,6232
t2_0108,5833
t2_0109,7807
t2_0110,6473
t2_0111,5707
t2_0112,4536
t2_0113,6526
t2_0114,8637
t2_0115,4658
t2_0116,5079
t2_0117,6275
t2_0118,5552
t2_0119,6827
t2_0120,7346
t2_0121,33524
t2_0122,35709
t2_0123,33890
t2_0124,34994
t2_0125,31877
t2_0126,37204
t2_0127,34934
t2_0128,42661
t2_0129,30993
t2_0130,33044
t2_0131,38015
t2_0132,33077
t2_0133,36338
t2_0134,32755
t2_0135,37936
t2_0136,37498
t2_0137,36302
t2_0138,31816
t2_0139,29307
t2_0140,35752
t2_0141,38376
t2_0142,37558
t2_0143,35404
t2_0144,39832
t2_0145,35889
t2_0146,32286
t2_0147,40568
t2_0148,33352
t2_0149,33431
t2_0150,37198
t2_0151,30621
t2_0152,31831
t2_0153,27856
t2_0154,31638
t2_0155,38582
t2_0156,29160
t2_0157,33649
t2_0158,34982
t2_0159,33342
t2_0160,30267
t2_0161,28572
t2_0162,26200
t2_0163,24961
t2_0164,23768
t2_0165,30706
t2_0166,41084
t2_0167,24848
t2_0168,28132
t2_0169,29500
t2_0170,27484
t2_0171,30807
t2_0172,26509
t2_0173,34005
t2_0174,34345
t2_0175,25315
t2_0176,38721
t2_0177,26833
t2_0178,37128
t2_0179,37588
t2_0180,21434
t2_0181,31252
t2_0182,30237
t2_0183,25190
t2_0184,30198
t2_0185,26480
t2_0186,37683
t2_0187,35854
t2_0188,34871
t2_0189,29337
t2_0190,30597
t2_0191,25484
t2_0192,32669
t2_0193,31443
t2_0194,22300
t2_0195,31948
t2_0196,29448
t2_0197,28641
t2_0198,34742
t2_0199,36899
t2_0200,31205
t2_0201,28958
t2_0202,28228
t2_0203,32180
t2_0204,29144
t2_0205,24887
t2_0206,33327
t2_0207,39429
t2_0208,30550
t2_0209,26988
t2_0210,28462
t2_0211,30924
t2_0212,39021
t2_0213,27722
t2_0214,32919
t2_0215,34031
t2_0216,30514
t2_0217,28586
t2_0218,31777
t2_0219,30640
t2_0220,36989
t2_0221,33003
t2_0222,36524
t2_0223,32691
t2_0224,27171
t2_0225,27394
t2_0226,36427
t2_0227,34104
t2_0228,32524
t2_0229,29341
t2_0230,33097
t2_0231,36288
t2_0232,28861
t2_0233,31350
t2_0234,35743
t2_0235,28336
t2_0236,25781
t2_0237,34505
t2_0238,34752
t2_0239,33859
t2_0240,27899
t2_0241,155281
t2_0242,126554
t2_0243,141116
t2_0244,142133
t2_0245,129123
t2_0246,125240
t2_0247,123994
t2_0248,119185
t2_0249,131734
t2_0250,148531
t2_0251,128965
t2_0252,123844
t2_0253,140349
t2_0254,120939
t2_0255,165340
t2_0256,127939
t2_0257,128856
t2_0258,126754
t2_0259,130440
t2_0260,121730
t2_0261,156954
t2_0262,131476
t2_0263,144084
t2_0264,148315
t2_0265,140845
t2_0266,121374
t2_0267,129251
t2_0268,125397
t2_0269,122288
t2_0270,147183
t2_0271,111212
t2_0272,120554
t2_0273,111800
t2_0274,107074
t2_0275,115773
t2_0276,104812
t2_0277,119133
t2_0278,131569
t2_0279,119080
t2_0280,125558
t2_0281,115248
t2_0282,109185
t2_0283,109700
t2_0284,100790
t2_0285,120903
t2_0286,108905
t2_0287,114637
t2_0288,122912
t2_0289,85611
t2_0290,116442
t2_0291,108980
t2_0292,103504
t2_0293,111665
t2_0294,107153
t2_0295,100354
t2_0296,104559
t2_0297,103874
t2_0298,99870
t2_0299,115027
t2_0300,116032
t2_0301,105089
t2_0302,103566
t2_0303,119814
t2_0304,110742
t2_0305,117012
t2_0306,111859
t2_0307,112670
t2_0308,117725
t2_0309,100550
t2_0310,109381
t2_0311,101901
t2_0312,98249
t2_0313,132064
t2_0314,117130
t2_0315,105453
t2_0316,120545
t2_0317,101292
t2_0318,113861
t2_0319,100951
t2_0320,104012
t2_0321,114281
t2_0322,116249
t2_0323,107900
t2_0324,107436
t2_0325,122233
t2_0326,107280
t2_0327,97988
t2_0328,106523
t2_0329,108052
t2_0330,118887
t2_0331,121832
t2_0332,104967
t2_0333,128788
t2_0334,95091
t2_0335,115732
t2_0336,101897
t2_0337,109021
t2_0338,110252
t2_0339,109627
t2_0340,92551
t2_0341,119739
t2_0342,115011
t2_0343,122992
t2_0344,110086
t2_0345,124449
t2_0346,121378
t2_0347,106689
t2_0348,109858
t2_0349,103869
t2_0350,109109
t2_0351,105567
t2_0352,117884
t2_0353,102440
t2_0354,92850
t2_0355,106490
t2_0356,115707
t2_0357,101492
t2_0358,120966
t2_0359,112274
t2_0360,105581
t2_0361,525132
t2_0362,495087
t2_0363,526889
t2_0364,522033
t2_0365,539848
t2_0366,568449
t2_0367,517256
t2_0368,539264
t2_0369,597117
t2_0370,551365
t2_0371,532057
t2_0372,492560
t2_0373,475173
t2_0374,487889
t2_0375,468456
t2_0376,574599
t2_0377,462495
t2_0378,489784
t2_0379,471889
t2_0380,513543
t2_0381,508495
t2_0382,556240
t2_0383,503065
t2_0384,509176
t2_0385,491716
t2_0386,537146
t2_0387,537089
t2_0388,531384
t2_0389,521241
t2_0390,517971
t2_0391,401670
t2_0392,459735
t2_0393,437096
t2_0394,416086
t2_0395,450979
t2_0396,437152
t2_0397,414413
t2_0398,410932
t2_0399,421793
t2_0400,447482
t2_0401,440742
t2_0402,469931
t2_0403,493795
t2_0404,406165
t2_0405,441446
t2_0406,452889
t2_0407,452422
t2_0408,407346
t2_0409,420523
t2_0410,395127
t2_0411,417870
t2_0412,419599
t2_0413,422734
t2_0414,474168
t2_0415,457099
t2_0416,439075
t2_0417,416612
t2_0418,466724
t2_0419,440441
t2_0420,414431
t2_0421,393832
t2_0422,447858
t2_0423,385852
t2_0424,432509
t2_0425,424931
t2_0426,386474
t2_0427,405949
t2_0428,387419
t2_0429,404870
t2_0430,413363
t2_0431,371267
t2_0432,425722
t2_0433,406163
t2_0434,411603
t2_0435,389635
t2_0436,394995
t2_0437,423177
t2_0438,438009
t2_0439,430096
t2_0440,371675
t2_0441,404725
t2_0442,362329
t2_0443,402539
t2_0444,393307
t2_0445,393773
t2_0446,389640
t2_0447,419737
t2_0448,439294
t2_0449,383018
t2_0450,416907
t2_0451,411932
t2_0452,386894
t2_0453,421893
t2_0454,416531
t2_0455,375239
t2_0456,400026
t2_0457,404086
t2_0458,403259
t2_0459,426832
t2_0460,389984
t2_0461,426030
t2_0462,417698
t2_0463,426736
t2_0464,432218
t2_0465,411270
t2_0466,394752
t2_0467,405619
t2_0468,403126
t2_0469,426032
t2_0470,407770
t2_0471,393593
t2_0472,419660
t2_0473,428040
t2_0474,385175
t2_0475,404919
t2_0476,399592
t2_0477,402592
t2_0478,446030
t2_0479,398557
t2_0480,405824
