2 50
55 20 1811
36 62 2097
47 65 1638
77 64 1478
53 4 1156
11 40 1641
54 23 1584
35 63 1746
7 32 1131
11 11 583
21 66 1466
56 100 621
6 93 1293
77 71 1703
50 29 1349
40 93 489
78 19 369
64 74 580
93 53 572
22 94 483
96 66 1622
92 12 443
24 49 687
35 45 1331
48 50 1046
24 7 330
64 54 1833
77 7 1942
64 84 1035
72 96 650
98 100 821
20 50 1663
80 35 1607
8 1 815
36 78 463
53 65 1857
52 16 2159
59 41 1096
92 11 1337
2 51 501
53 78 1580
5 40 795
81 40 1307
67 20 1805
76 23 641
70 43 1982
81 83 750
4 69 1165
85 17 393
80 68 1829
